#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
1,Bitcoin BTC,"$29,230.44",-0.1%,-0.4%,4.9%,"$9,393,136,165","$566,310,733,423","$614,276,991,037",0.92
2,Ethereum ETH,"$1,902.55",-0.2%,0.1%,1.3%,"$5,178,818,496","$229,276,454,950","$229,276,454,950",1.00
3,Tether USDT,$1.00,0.0%,-0.0%,-0.1%,"$12,264,344,210","$81,861,799,677","$81,861,799,677",1.00
4,BNB BNB,$322.31,-0.0%,-0.2%,-3.0%,"$417,889,819","$50,905,011,306","$64,483,134,704",0.79
5,USD Coin USDC,$1.00,-0.0%,0.0%,-0.1%,"$3,403,364,599","$30,534,248,694","$30,534,248,694",1.00
6,XRP XRP,$0.475961,0.0%,-1.0%,0.4%,"$443,109,648","$24,634,717,305","$47,602,573,033",0.52
7,Cardano ADA,$0.399912,-0.0%,-1.0%,0.8%,"$156,630,082","$14,023,514,766","$18,007,070,605",0.78
8,Lido Staked Ether STETH,"$1,898.26",-0.3%,0.1%,1.1%,"$15,678,253","$11,789,920,703","$11,789,920,703",1.00
9,Dogecoin DOGE,$0.080914531004,-0.0%,-0.3%,0.4%,"$307,085,081","$11,274,505,485",-,-
10,Solana SOL,$23.45,-0.4%,0.5%,7.3%,"$430,038,786","$9,240,374,484","$12,845,851,710",0.72
11,Polygon MATIC,$0.996276,-0.2%,-1.1%,-3.0%,"$217,083,487","$9,224,598,107","$9,973,110,930",0.92
12,Polkadot DOT,$6.02,-0.0%,0.5%,1.0%,"$116,321,488","$7,395,648,452","$7,883,414,611",0.94
13,Litecoin LTC,$90.42,-0.1%,0.5%,3.7%,"$312,739,710","$6,594,654,834","$7,607,394,087",0.87
14,Binance USD BUSD,$1.00,0.1%,0.0%,-0.1%,"$1,213,282,453","$6,209,207,772","$6,209,207,772",1.00
15,TRON TRX,$0.067760250291,-0.3%,0.8%,2.3%,"$274,234,929","$6,147,076,183","$6,147,100,133",1.00
16,Shiba Inu SHIB,$0.000010262565,0.0%,-0.7%,-2.4%,"$67,125,761","$6,050,558,338",-,-
17,Avalanche AVAX,$17.38,-0.1%,-1.0%,0.7%,"$95,993,796","$5,708,153,263","$12,530,981,643",0.46
18,Dai DAI,$1.00,0.0%,0.0%,-0.0%,"$51,590,657","$4,736,195,221","$4,736,195,221",1.00
19,Wrapped Bitcoin WBTC,"$29,198.76",-0.2%,-0.4%,4.8%,"$58,505,239","$4,499,485,827","$4,499,485,827",1.00
20,Uniswap UNI,$5.60,-0.2%,0.1%,1.7%,"$49,343,768","$4,231,788,366","$5,614,188,782",0.75
21,Chainlink LINK,$7.22,-0.2%,1.1%,0.2%,"$154,792,353","$3,733,921,571","$7,220,889,149",0.52
22,Cosmos Hub ATOM,$11.85,-0.0%,1.4%,7.2%,"$100,612,867","$3,469,495,841",-,-
